ID,PARENT,LEVEL,CATEGORY,GUID
1,0,1,Arts & Entertainment,4d4b7104d754a06370d81259
66,0,1,College & University,4d4b7105d754a06372d81259
105,0,1,Event,4d4b7105d754a06373d81259
116,0,1,Food,4d4b7105d754a06374d81259
457,0,1,Nightlife Spot,4d4b7105d754a06376d81259
586,0,1,Professional & Other Places,4d4b7105d754a06375d81259
697,0,1,Shop & Service,4d4b7105d754a06378d81259
2,1,2,Amphitheater,56aa371be4b08b9a8d5734db
3,1,2,Aquarium,4fceea171983d5d06c3e9823
4,1,2,Arcade,4bf58dd8d48988d1e1931735
5,1,2,Art Gallery,4bf58dd8d48988d1e2931735
6,1,2,Bowling Alley,4bf58dd8d48988d1e4931735
7,1,2,Casino,4bf58dd8d48988d17c941735
8,1,2,Circus,52e81612bcbc57f1066b79e7
9,1,2,Comedy Club,4bf58dd8d48988d18e941735
10,1,2,Concert Hall,5032792091d4c4b30a586d5c
11,1,2,Country Dance Club,52e81612bcbc57f1066b79ef
12,1,2,Disc Golf,52e81612bcbc57f1066b79e8
13,1,2,Exhibit,56aa371be4b08b9a8d573532
14,1,2,General Entertainment,4bf58dd8d48988d1f1931735
15,1,2,Go Kart Track,52e81612bcbc57f1066b79ea
16,1,2,Historic Site,4deefb944765f83613cdba6e
18,1,2,Laser Tag,52e81612bcbc57f1066b79e6
19,1,2,Memorial Site,5642206c498e4bfca532186c
20,1,2,Mini Golf,52e81612bcbc57f1066b79eb
21,1,2,Movie Theater,4bf58dd8d48988d17f941735
25,1,2,Museum,4bf58dd8d48988d181941735
31,1,2,Music Venue,4bf58dd8d48988d1e5931735
36,1,2,Performing Arts Venue,4bf58dd8d48988d1f2931735
41,1,2,Pool Hall,4bf58dd8d48988d1e3931735
42,1,2,Public Art,507c8c4091d498d9fc8c67a9
45,1,2,Racecourse,56aa371be4b08b9a8d573514
46,1,2,Racetrack,4bf58dd8d48988d1f4931735
47,1,2,Roller Rink,52e81612bcbc57f1066b79e9
48,1,2,Salsa Club,52e81612bcbc57f1066b79ec
50,1,2,Stadium,4bf58dd8d48988d184941735
60,1,2,Theme Park,4bf58dd8d48988d182941735
62,1,2,Tour Provider,56aa371be4b08b9a8d573520
63,1,2,Water Park,4bf58dd8d48988d193941735
64,1,2,Zoo,4bf58dd8d48988d17b941735
67,66,2,College Academic Building,4bf58dd8d48988d198941735
75,66,2,College Administrative Building,4bf58dd8d48988d197941735
76,66,2,College Auditorium,4bf58dd8d48988d1af941735
77,66,2,College Bookstore,4bf58dd8d48988d1b1941735
78,66,2,College Cafeteria,4bf58dd8d48988d1a1941735
79,66,2,College Classroom,4bf58dd8d48988d1a0941735
80,66,2,College Gym,4bf58dd8d48988d1b2941735
81,66,2,College Lab,4bf58dd8d48988d1a5941735
82,66,2,College Library,4bf58dd8d48988d1a7941735
83,66,2,College Quad,4bf58dd8d48988d1aa941735
84,66,2,College Rec Center,4bf58dd8d48988d1a9941735
85,66,2,College Residence Hall,4bf58dd8d48988d1a3941735
86,66,2,College Stadium,4bf58dd8d48988d1b4941735
95,66,2,College Theater,4bf58dd8d48988d1ac941735
96,66,2,Community College,4bf58dd8d48988d1a2941735
97,66,2,Fraternity House,4bf58dd8d48988d1b0941735
98,66,2,General College & University,4bf58dd8d48988d1a8941735
99,66,2,Law School,4bf58dd8d48988d1a6941735
100,66,2,Medical School,4bf58dd8d48988d1b3941735
101,66,2,Sorority House,4bf58dd8d48988d141941735
102,66,2,Student Center,4bf58dd8d48988d1ab941735
103,66,2,Trade School,4bf58dd8d48988d1ad941735
104,66,2,University,4bf58dd8d48988d1ae941735
106,105,2,Christmas Market,52f2ab2ebcbc57f1066b8b3b
107,105,2,Conference,5267e4d9e4b0ec79466e48c6
108,105,2,Convention,5267e4d9e4b0ec79466e48c9
109,105,2,Festival,5267e4d9e4b0ec79466e48c7
110,105,2,Line / Queue,58daa1558bbb0b01f18ec1fa
111,105,2,Music Festival,5267e4d9e4b0ec79466e48d1
112,105,2,Other Event,5267e4d9e4b0ec79466e48c8
113,105,2,Parade,52741d85e4b0d5d1e3c6a6d9
114,105,2,Stoop Sale,52f2ab2ebcbc57f1066b8b54
115,105,2,Street Fair,5267e4d8e4b0ec79466e48c5
117,116,2,Afghan Restaurant,503288ae91d4c4b30a586d67
118,116,2,African Restaurant,4bf58dd8d48988d1c8941735
120,116,2,American Restaurant,4bf58dd8d48988d14e941735
122,116,2,Asian Restaurant,4bf58dd8d48988d142941735
123,116,2,Burmese Restaurant,56aa371be4b08b9a8d573568
206,116,2,Australian Restaurant,4bf58dd8d48988d169941735
207,116,2,Austrian Restaurant,52e81612bcbc57f1066b7a01
208,116,2,BBQ Joint,4bf58dd8d48988d1df931735
209,116,2,Bagel Shop,4bf58dd8d48988d179941735
210,116,2,Bakery,4bf58dd8d48988d16a941735
211,116,2,Belgian Restaurant,52e81612bcbc57f1066b7a02
212,116,2,Bistro,52e81612bcbc57f1066b79f1
213,116,2,Breakfast Spot,4bf58dd8d48988d143941735
214,116,2,Bubble Tea Shop,52e81612bcbc57f1066b7a0c
215,116,2,Buffet,52e81612bcbc57f1066b79f4
216,116,2,Burger Joint,4bf58dd8d48988d16c941735
217,116,2,Cafeteria,4bf58dd8d48988d128941735
218,116,2,Café,4bf58dd8d48988d16d941735
219,116,2,Cajun / Creole Restaurant,4bf58dd8d48988d17a941735
220,116,2,Caribbean Restaurant,4bf58dd8d48988d144941735
222,116,2,Caucasian Restaurant,5293a7d53cf9994f4e043a45
223,116,2,Coffee Shop,4bf58dd8d48988d1e0931735
224,116,2,Comfort Food Restaurant,52e81612bcbc57f1066b7a00
225,116,2,Creperie,52e81612bcbc57f1066b79f2
226,116,2,Czech Restaurant,52f2ae52bcbc57f1066b8b81
227,116,2,Deli / Bodega,4bf58dd8d48988d146941735
228,116,2,Dessert Shop,4bf58dd8d48988d1d0941735
234,116,2,Diner,4bf58dd8d48988d147941735
235,116,2,Donut Shop,4bf58dd8d48988d148941735
236,116,2,Dumpling Restaurant,4bf58dd8d48988d108941735
237,116,2,Dutch Restaurant,5744ccdfe4b0c0459246b4d0
238,116,2,Eastern European Restaurant,4bf58dd8d48988d109941735
244,116,2,English Restaurant,52e81612bcbc57f1066b7a05
245,116,2,Falafel Restaurant,4bf58dd8d48988d10b941735
246,116,2,Fast Food Restaurant,4bf58dd8d48988d16e941735
247,116,2,Fish & Chips Shop,4edd64a0c7ddd24ca188df1a
248,116,2,Fondue Restaurant,52e81612bcbc57f1066b7a09
249,116,2,Food Court,4bf58dd8d48988d120951735
250,116,2,Food Stand,56aa371be4b08b9a8d57350b
251,116,2,Food Truck,4bf58dd8d48988d1cb941735
252,116,2,French Restaurant,4bf58dd8d48988d10c941735
269,116,2,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761
271,116,2,Gastropub,4bf58dd8d48988d155941735
272,116,2,German Restaurant,4bf58dd8d48988d10d941735
284,116,2,Gluten-free Restaurant,4c2cd86ed066bed06c3c5209
285,116,2,Greek Restaurant,4bf58dd8d48988d10e941735
299,116,2,Halal Restaurant,52e81612bcbc57f1066b79ff
300,116,2,Hawaiian Restaurant,52e81612bcbc57f1066b79fe
301,116,2,Hot Dog Joint,4bf58dd8d48988d16f941735
302,116,2,Hungarian Restaurant,52e81612bcbc57f1066b79fa
303,116,2,Indian Restaurant,4bf58dd8d48988d10f941735
330,116,2,Irish Pub,52e81612bcbc57f1066b7a06
331,116,2,Italian Restaurant,4bf58dd8d48988d110941735
358,116,2,Jewish Restaurant,52e81612bcbc57f1066b79fd
360,116,2,Juice Bar,4bf58dd8d48988d112941735
361,116,2,Kebab Restaurant,5283c7b4e4b094cb91ec88d7
362,116,2,Latin American Restaurant,4bf58dd8d48988d1be941735
386,116,2,Mediterranean Restaurant,4bf58dd8d48988d1c0941735
388,116,2,Mexican Restaurant,4bf58dd8d48988d1c1941735
394,116,2,Middle Eastern Restaurant,4bf58dd8d48988d115941735
404,116,2,Modern European Restaurant,52e81612bcbc57f1066b79f9
405,116,2,Molecular Gastronomy Restaurant,4bf58dd8d48988d1c2941735
406,116,2,Pakistani Restaurant,52e81612bcbc57f1066b79f8
407,116,2,Pet Café,56aa371be4b08b9a8d573508
408,116,2,Pizza Place,4bf58dd8d48988d1ca941735
409,116,2,Polish Restaurant,52e81612bcbc57f1066b7a04
410,116,2,Portuguese Restaurant,4def73e84765ae376e57713a
412,116,2,Restaurant,4bf58dd8d48988d1c4941735
413,116,2,Russian Restaurant,5293a7563cf9994f4e043a44
416,116,2,Salad Place,4bf58dd8d48988d1bd941735
417,116,2,Sandwich Place,4bf58dd8d48988d1c5941735
418,116,2,Scandinavian Restaurant,4bf58dd8d48988d1c6941735
419,116,2,Scottish Restaurant,5744ccdde4b0c0459246b4a3
420,116,2,Seafood Restaurant,4bf58dd8d48988d1ce941735
421,116,2,Slovak Restaurant,56aa371be4b08b9a8d57355a
422,116,2,Snack Place,4bf58dd8d48988d1c7941735
423,116,2,Soup Place,4bf58dd8d48988d1dd931735
424,116,2,Southern / Soul Food Restaurant,4bf58dd8d48988d14f941735
428,116,2,Sri Lankan Restaurant,5413605de4b0ae91d18581a9
429,116,2,Steakhouse,4bf58dd8d48988d1cc941735
430,116,2,Swiss Restaurant,4bf58dd8d48988d158941735
431,116,2,Tea Room,4bf58dd8d48988d1dc931735
432,116,2,Theme Restaurant,56aa371be4b08b9a8d573538
434,116,2,Turkish Restaurant,4f04af1f2fb6e1c99f3db0bb
452,116,2,Ukrainian Restaurant,52e928d0bcbc57f1066b7e96
455,116,2,Vegetarian / Vegan Restaurant,4bf58dd8d48988d1d3941735
456,116,2,Wings Joint,4bf58dd8d48988d14c941735
458,457,2,Bar,4bf58dd8d48988d116941735
476,457,2,Brewery,50327c8591d4c4b30a586d5d
477,457,2,Lounge,4bf58dd8d48988d121941735
478,457,2,Night Market,53e510b7498ebcb1801b55d4
479,457,2,Nightclub,4bf58dd8d48988d11f941735
480,457,2,Other Nightlife,4bf58dd8d48988d11a941735
481,457,2,Strip Club,4bf58dd8d48988d1d6941735
587,586,2,Animal Shelter,4e52d2d203646f7c19daa8ae
588,586,2,Art Studio,58daa1558bbb0b01f18ec1d6
589,586,2,Auditorium,4bf58dd8d48988d173941735
590,586,2,Ballroom,56aa371be4b08b9a8d5734cf
591,586,2,Building,4bf58dd8d48988d130941735
592,586,2,Business Center,56aa371be4b08b9a8d573517
593,586,2,Club House,52e81612bcbc57f1066b7a35
594,586,2,Community Center,52e81612bcbc57f1066b7a34
595,586,2,Convention Center,4bf58dd8d48988d1ff931735
597,586,2,Cultural Center,52e81612bcbc57f1066b7a32
598,586,2,Distillery,4e0e22f5a56208c4ea9a85a0
599,586,2,Distribution Center,52e81612bcbc57f1066b7a37
600,586,2,Event Space,4bf58dd8d48988d171941735
604,586,2,Funeral Home,4f4534884b9074f6e4fb0174
605,586,2,Government Building,4bf58dd8d48988d126941735
614,586,2,Industrial Estate,56aa371be4b08b9a8d5734d7
615,586,2,Laboratory,5744ccdfe4b0c0459246b4d6
616,586,2,Library,4bf58dd8d48988d12f941735
617,586,2,Medical Center,4bf58dd8d48988d104941735
638,586,2,Office,4bf58dd8d48988d124941735
670,586,2,Social Club,52e81612bcbc57f1066b7a33
689,586,2,Wedding Hall,56aa371be4b08b9a8d5734c5
698,697,2,ATM,52f2ab2ebcbc57f1066b8b56
699,697,2,Adult Boutique,5267e446e4b0ec79466e48c4
700,697,2,Antique Shop,4bf58dd8d48988d116951735
701,697,2,Arts & Crafts Store,4bf58dd8d48988d127951735
702,697,2,Astrologer,52f2ab2ebcbc57f1066b8b43
703,697,2,Auto Dealership,4eb1c1623b7b52c0e1adc2ec
704,697,2,Auto Garage,52f2ab2ebcbc57f1066b8b44
705,697,2,Auto Workshop,56aa371be4b08b9a8d5734d3
706,697,2,Automotive Shop,4bf58dd8d48988d124951735
707,697,2,Baby Store,52f2ab2ebcbc57f1066b8b32
708,697,2,Bank,4bf58dd8d48988d10a951735
709,697,2,Bath House,52e81612bcbc57f1066b7a27
711,697,2,Betting Shop,52f2ab2ebcbc57f1066b8b40
712,697,2,Big Box Store,52f2ab2ebcbc57f1066b8b42
713,697,2,Bike Shop,4bf58dd8d48988d115951735
714,697,2,Board Shop,4bf58dd8d48988d1f1941735
715,697,2,Bookstore,4bf58dd8d48988d114951735
716,697,2,Bridal Shop,4bf58dd8d48988d11a951735
717,697,2,Business Service,5453de49498eade8af355881
718,697,2,Camera Store,4eb1bdf03b7b55596b4a7491
719,697,2,Candy Store,4bf58dd8d48988d117951735
720,697,2,Car Wash,4f04ae1f2fb6e1c99f3db0ba
721,697,2,Carpet Store,52f2ab2ebcbc57f1066b8b2a
722,697,2,Check Cashing Service,52f2ab2ebcbc57f1066b8b2d
723,697,2,Child Care Service,5744ccdfe4b0c0459246b4c7
725,697,2,Chocolate Shop,52f2ab2ebcbc57f1066b8b31
734,697,2,Comic Shop,52f2ab2ebcbc57f1066b8b18
735,697,2,Construction & Landscaping,5454144b498ec1f095bff2f2
736,697,2,Convenience Store,4d954b0ea243a5684a65b473
737,697,2,Cosmetics Shop,4bf58dd8d48988d10c951735
738,697,2,Costume Shop,52f2ab2ebcbc57f1066b8b17
739,697,2,Credit Union,5032850891d4c4b30a586d62
740,697,2,Currency Exchange,5744ccdfe4b0c0459246b4be
741,697,2,Department Store,4bf58dd8d48988d1f6941735
742,697,2,Design Studio,4bf58dd8d48988d1f4941735
743,697,2,Discount Store,52dea92d3cf9994f4e043dbb
744,697,2,Dive Shop,52f2ab2ebcbc57f1066b8b1a
745,697,2,Drugstore,5745c2e4498e11e7bccabdbd
746,697,2,Dry Cleaner,52f2ab2ebcbc57f1066b8b1d
747,697,2,EV Charging Station,5032872391d4c4b30a586d64
748,697,2,Electronics Store,4bf58dd8d48988d122951735
749,697,2,Entertainment Service,56aa371be4b08b9a8d573554
750,697,2,Event Service,5454152e498ef71e2b9132c6
751,697,2,Fabric Shop,52f2ab2ebcbc57f1066b8b26
752,697,2,Film Studio,56aa371be4b08b9a8d573523
753,697,2,Financial or Legal Service,503287a291d4c4b30a586d65
754,697,2,Fireworks Store,52f2ab2ebcbc57f1066b8b3a
755,697,2,Fishing Store,52f2ab2ebcbc57f1066b8b16
756,697,2,Flea Market,4bf58dd8d48988d1f7941735
757,697,2,Floating Market,56aa371be4b08b9a8d573505
758,697,2,Flower Shop,4bf58dd8d48988d11b951735
759,697,2,Food & Drink Shop,4bf58dd8d48988d1f9941735
778,697,2,Frame Store,52f2ab2ebcbc57f1066b8b24
779,697,2,Fruit & Vegetable Store,52f2ab2ebcbc57f1066b8b1c
780,697,2,Furniture / Home Store,4bf58dd8d48988d1f8941735
782,697,2,Gaming Cafe,4bf58dd8d48988d18d941735
